eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6112825274467468,0.7659574468085106,0.518796992481203,0.6296296296296297,0.5660660660660661,0.2022,232.388,9.889,1.0,24,,,,,,,,
0.47948235273361206,0.8085106382978723,0.7701863354037267,0.7055555555555554,0.6964769647696477,0.1961,239.715,10.201,2.0,48,,,,,,,,
,,,,,,,,2.0833333333333335,50,0.5628,5.300231456756592,2.3874999999999998e-05,,,,,
0.6049044728279114,0.7659574468085106,0.7272727272727272,0.7092592592592593,0.7131690514043455,0.1823,257.809,10.971,3.0,72,,,,,,,,
0.654750645160675,0.7659574468085106,0.6899951899951899,0.687037037037037,0.6858465608465608,0.1639,286.682,12.199,4.0,96,,,,,,,,
,,,,,,,,4.166666666666667,100,0.1881,1.159666895866394,1.7625e-05,,,,,
0.6405268907546997,0.851063829787234,0.8222222222222223,0.8185185185185184,0.8187134502923975,0.1989,236.313,10.056,5.0,120,,,,,,,,
0.8918034434318542,0.7872340425531915,0.7182539682539683,0.7055555555555556,0.7054343175010698,0.1925,244.119,10.388,6.0,144,,,,,,,,
,,,,,,,,6.25,150,0.0272,0.3499753177165985,1.1375e-05,,,,,
1.1724307537078857,0.7659574468085106,0.7348484848484849,0.7296296296296297,0.726120857699805,0.2001,234.857,9.994,7.0,168,,,,,,,,
1.0252145528793335,0.8085106382978723,0.7685185185185185,0.762962962962963,0.7641325536062378,0.1909,246.209,10.477,8.0,192,,,,,,,,
,,,,,,,,8.333333333333334,200,0.0082,0.05408036708831787,5.125e-06,,,,,
1.0118173360824585,0.8297872340425532,0.7964912280701754,0.7999999999999999,0.7965860597439544,0.1952,240.838,10.248,9.0,216,,,,,,,,
1.0353751182556152,0.7872340425531915,0.75,0.7462962962962963,0.7449027975343765,0.2089,225.008,9.575,10.0,240,,,,,,,,
,,,,,,,,10.0,240,,,,472.2059,7.92,0.508,492022091151360.0,0.16407842660943667
